Abbotsford Crescent  	 tuesday-2
Craigmillar Park  	 thursday-2
Craigmillar Park 2, 4, 6, 8  	 tuesday-2
Craigs Road  	 thursday-2
Craigs Road 120, 93 and 85  	 thursday-1
Crewe Road South 15 - 23 Odd  	 tuesday-2
Crewe Road South 95 - 141 Odd  	 friday-2
Dalkeith Road Even  	 wednesday-1
Dalkeith Road Odd  	 friday-1
Dick Place 38  	 tuesday-1a
Drum Brae North Even  	 thursday-2
Drum Brae North Odd  	 friday-1
Drum Brae South Even  	 friday-1
Drum Brae South Odd  	 thursday-2
Duddingston Park South 55 - 201 Odd and 46 - 216 Even  	 friday-1
Duddingston Park South 9 - 33 Odd and 2 - 44 Even  	 friday-2
Duddingston Road West 131, 124 - 148 Even  	 friday-1
Easter Road 25, 77, 12 and 170  	 wednesday-2
Easter Road 268  	 wednesday-1
Ferry Road 700 - 740 Even  	 tuesday-1
Ferry Road Avenue 1 - 33 Odd and 2 - 50 Even  	 tuesday-1
Ferry Road Avenue 37 - 41 Odd  	 friday-1
Gillespie Road  	 wednesday-1
Gillespie Road 19  	 wednesday-2
Gilmerton Road 221 - 229 Odd  	 friday-1
Gilmerton Road 401-543 Odd and 406 - 500 Even  	 thursday-1
Gilmerton Road 8-20 Even and 282 - 366 Even & 207 - 219 Odd  	 thursday-2
Glasgow Road 25 - 103 Odd and 2 - 164 Even Eh12  	 thursday-2
Glenlockhart Road  	 wednesday-2
Glenlockhart Road 2  	 tuesday-1
Gorgie Road 259 - 545 Odd and 394 - 496 Even  	 tuesday-2
Gorgie Road 570  	 friday-2
Gracemount Drive  	 thursday-2
Juniper Park Road  	 thursday-1
Kingsknowe Road North 203  	 tuesday-2
Lanark Road 2 - 464 Even and 27 - 121 Odd  	 tuesday-2
Lanark Road 293 - 601 Odd and 476 - 632 Even  	 wednesday-1
Lasswade Road 1 - 79 Odd and 4 - 136 Even  	 thursday-2
Lasswade Road 217 - 297 Odd and 248 - 328 Even  	 thursday-1
Mayfield Gardens 1 - 39 Odd  	 wednesday-1
Mayfield Gardens 2 - 32 Even  	 tuesday-2
Mayfield Road 103 - 205 Odd  	 thursday-2
Mayfield Road 2 - 182 Even and 1 - 101 Odd  	 tuesday-2
Moira Terrace 48 and 125  	 wednesday-1
Moira Terrace  	 wednesday-2
Morton Street 3 - 15 Odd and 2 - 8 Even  	 friday-1
Morton Street 31 - 63 Odd and 12 - 40  	 friday-2
Newington Road  	 wednesday-1
Northfield Broadway  	 friday-2
Northfield Broadway 84  	 wednesday-2
Old Church Lane  	 wednesday-1
Old Dalkeith Road 13 -89 Odd and 42 -140 Even  	 friday-1
Old Dalkeith Road 139 - 217 Odd and 164 - 700  	 thursday-1
Pilton Drive 1 - 91 Odd  	 tuesday-2
Pilton Drive 2 - 100 Even  	 tuesday-1
Pilton Drive North Even  	 tuesday-1
Pilton Drive North Odd  	 tuesday-2
Pinkhill Park 1  	 friday-1
Queensferry Road 385 - 555 Odd and 568 - 634  	 friday-1
Queensferry Road 534 - 554 Even and 559 - 599 Odd  	 thursday-2
Queensferry Road 1  	 wednesday-1
Redford Road 111 - 171 Odd  	 wednesday-1
Redford Road 47 - 87 Odd and 4 - 80 Even  	 wednesday-2
Restalrig Road South 137 -161 Odd and 178 - 198 Even  	 wednesday-1
Restalrig Road South 7 - 135 Odd and 50 - 174 Even  	 wednesday-2
Saughton Mains Street  	 thursday-2
Saughton Mains Street 98 Flat 1  	 thursday-1
Saughton Road 41 - 67 Odd  	 thursday-2
Saughton Road 8 - 40 Even  	 thursday-2
Sighthill Court 2 - 22 Even  	 thursday-2
Sighthill Court 1A  	 wednesday-2
Silverknowes Road 7 - 63 Odd and 26 -120 Even  	 tuesday-1
Silverknowes Road 1, 3, 5  	 friday-1
Slateford Road 104 -122 Even  	 tuesday-2
Slateford Road 201 -207 Odd  	 tuesday-2
Slateford Road 62 - 100 Even  	 tuesday-1
Sleigh Drive Even  	 wednesday-2
Sleigh Drive Odd  	 wednesday-1
South Oswald Road  	 tuesday-2
South Oswald Road 71 - 75  	 tuesday-1
Stenhouse Road 6 - 74 Even  	 wednesday-2
Stenhouse Road 7 - 55 Odd  	 wednesday-2
Stenhouse Street West  	 thursday-2
Strathalmond Green  	 thursday-2
Strathalmond Green 20  	 friday-1
Suffolk Road Even  	 thursday-2
Suffolk Road Odd  	 tuesday-2
West Granton Road 213 - 225 Odd and 120 - 146 Even  	 tuesday-1
West Granton Road 3 - 43 Odd and 70  	 tuesday-2
Whitehouse Loan 162 -172 Even  	 tuesday-1
Whitehouse Loan  	 tuesday-2
Willowbrae Road 161 - 165 Odd and 233  	 friday-2
Willowbrae Road  	 wednesday-2
Woodhall Road Except 154-184  	 wednesday-2
